"PORT_NAME","LATITUDE","LONGITUDE"
"ashtabula",41.9,-80.8
"fairport",41.766667,-81.3
"cleveland",41.5,-81.716667
"lorain",41.466667,-82.183333
"vermilion",41.433333,-82.366667
"huron",41.4,-82.55
"sandusky",41.45,-82.716667
"port clinton",41.516667,-82.933333
"put in bay",41.65,-82.816667
"toledo",41.7,-83.466667
"monroe",41.883333,-83.333333
"trenton",42.133333,-83.166667
"wyandotte",42.2,-83.15
"rouge river",42.283333,-83.116667
"detroit",42.333333,-83.033333
"sackets harbor",43.95,-76.116667
"oswego",43.466667,-76.516667
"ogdensburg",44.7,-75.5
"alexandria bay",44.333333,-75.916667
"clayton",44.233333,-76.05
"chaumont",44.066667,-76.133333
"barbers point terminal",21.266667,-158.1
"unga",55.183333,-160.5
"akutan harbor",54.133333,-165.8
"adak naval air station",51.866667,-176.633333
"port chilkoot",59.233333,-135.433333
"orca",60.583333,-145.716667
"barber's point",21.316667,-158.116667
